ID,Goal,Target,Indicator,ReleaseStatus,ReleaseName,SeriesID,SeriesCode,isDSDSeries,SeriesDescription,SeriesObservationCount,GeoAreaCode,GeoAreaName,TimePeriod,Value,ValueType,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,ObservationID,Age,Freq,Location,Nature,Sex,UnitMultiplier,Units,Level/Status,Name of international agreement,Education level,Type of product,Type of facilities,Name of international institution,Type of occupation,Tariff regime (status),Type of skill,Mode of transportation,Type of mobile technology,Name of non-communicable disease,Type of speed,Migratory status,Disability status,Hazard type,IHR Capacity,Cities,Reporting Type,Quantile,Activity,Observation Status,Policy Domains,Policy instruments,Sampling Stations,Type of waste treatment,Grounds of discrimination,Parliamentary committees,Cause of death,Substance use disorders,Mountain Elevation,Deviation Level,Frequency of Chlorophyll-a concentration,Food Waste Sector,Fiscal intervention stage
927208,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,380,Italy,2014,51.9204,Float,2014,,,,,Eurostat,,"",6014420,,,,,MALE,,PERCENT,,,,,,,,,TRAF,,,,,,,,,,G,,,,,,,,,,,,,,,,
927209,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,380,Italy,2014,21.522,Float,2014,,,,,Eurostat,,"",6014421,,,,,FEMALE,,PERCENT,,,,,,,,,EPRS,,,,,,,,,,G,,,,,,,,,,,,,,,,
927210,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,380,Italy,2014,25.1241,Float,2014,,,,,Eurostat,,"",6014422,,,,,BOTHSEX,,PERCENT,,,,,,,,,EPRS,,,,,,,,,,G,,,,,,,,,,,,,,,,
927218,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,380,Italy,2015,2.6705,Float,2015,,,,,Eurostat,,"",6014438,,,,,FEMALE,,PERCENT,,,,,,,,,PCPR,,,,,,,,,,G,,,,,,,,,,,,,,,,
927227,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,380,Italy,2015,37.3949,Float,2015,,,,,Eurostat,,"",6014447,,,,,FEMALE,,PERCENT,,,,,,,,,TRAF,,,,,,,,,,G,,,,,,,,,,,,,,,,
927228,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,380,Italy,2015,42.8772,Float,2015,,,,,Italian National Institute of Statistics,,"",6014448,,,,,BOTHSEX,,PERCENT,,,,,,,,,TRAF,,,,,,,,,,G,,,,,,,,,,,,,,,,
927229,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,380,Italy,2015,48.5272,Float,2015,,,,,Eurostat,,"",6014449,,,,,MALE,,PERCENT,,,,,,,,,TRAF,,,,,,,,,,G,,,,,,,,,,,,,,,,
927230,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,380,Italy,2015,26.4456,Float,2015,,,,,Eurostat,,"",6014450,,,,,FEMALE,,PERCENT,,,,,,,,,SOFT,,,,,,,,,,G,,,,,,,,,,,,,,,,
927231,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,380,Italy,2015,32.785,Float,2015,,,,,Italian National Institute of Statistics,,"",6014451,,,,,BOTHSEX,,PERCENT,,,,,,,,,SOFT,,,,,,,,,,G,,,,,,,,,,,,,,,,
927232,4,4.4,4.4.1,Published,2020.Q4.G.02,2852,SE_ADT_ACTS,1,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",4795,380,Italy,2015,39.3184,Float,2015,,,,,Eurostat,,"",6014452,,,,,MALE,,PERCENT,,,,,,,,,SOFT,,,,,,,,,,G,,,,,,,,,,,,,,,,
