Country Name,Country Code,Made or received digital payments in the past year (% age 15+) [g20.t] - 2011 [YR2011],Made or received digital payments in the past year (% age 15+) [g20.t] - 2014 [YR2014],Made or received digital payments in the past year (% age 15+) [g20.t] - 2017 [YR2017],"Made or received digital payments in the past year, female  (% age 15+) [g20.t.2] - 2011 [YR2011]","Made or received digital payments in the past year, female  (% age 15+) [g20.t.2] - 2014 [YR2014]","Made or received digital payments in the past year, female  (% age 15+) [g20.t.2] - 2017 [YR2017]","Made or received digital payments in the past year, male  (% age 15+) [g20.t.1] - 2011 [YR2011]","Made or received digital payments in the past year, male  (% age 15+) [g20.t.1] - 2014 [YR2014]","Made or received digital payments in the past year, male  (% age 15+) [g20.t.1] - 2017 [YR2017]"
Puerto Rico,PRI,..,58.16232681,..,..,52.97593307,..,..,63.81366348,..
Qatar,QAT,..,..,..,..,..,..,..,..,..
Romania,ROU,..,40.74241638,47.22522354,..,36.25167465,45.17623901,..,45.62580872,49.51330948
Russian Federation,RUS,..,53.42954254,70.52285004,..,53.91418457,70.34288788,..,52.81138611,70.74285126
Rwanda,RWA,..,27.351614,38.92309952,..,21.59769058,33.48628235,..,33.21710587,45.0760231
Saudi Arabia,SAU,..,49.13474655,61.16791916,..,34.04946136,41.95897675,..,59.93973541,73.71856689
Senegal,SEN,..,11.69472694,39.52422333,..,8.579971313,35.65043259,..,15.17853737,43.88197708
Serbia,SRB,..,60.45350266,66.10681152,..,59.26229477,64.39940643,..,61.75311661,67.97162628
Sierra Leone,SLE,..,12.73058701,15.61499405,..,8.265062332,12.34075356,..,17.58614731,19.2669754
Singapore,SGP,..,87.02402496,90.10149384,..,85.33138275,88.7862854,..,88.78144836,91.5249939
Slovak Republic,SVK,..,72.27615356,81.50480652,..,74.98952484,80.66470337,..,69.3400116,82.41777039
Slovenia,SVN,..,86.02214813,95.72939301,..,82.33419037,93.9532547,..,89.93209839,97.58779907
Somalia,SOM,..,38.32230377,..,..,33.08507919,..,..,43.46504974,..
South Africa,ZAF,..,58.78348923,60.10709381,..,61.00017929,61.13550568,..,56.312603,59.00954056
South America (excluding high income),SAM,..,..,..,..,..,..,..,..,..
South Sudan,SSD,..,..,7.348464489,..,..,4.041018486,..,..,10.71717644
Spain,ESP,..,93.29686737,90.49381256,..,92.56338501,87.18994141,..,94.03932953,93.81468964
Sri Lanka,LKA,..,20.83149147,47.1597023,..,18.49136734,44.20219803,..,23.44212723,50.66333008
Sudan,SDN,..,11.9162426,..,..,8.134410858,..,..,15.46203232,..
Sweden,SWE,..,99.21191406,98.34435272,..,99.51652527,98.6734848,..,98.90129852,98.01114655
Switzerland,CHE,..,90.76051331,96.45001984,..,88.0695343,96.46915436,..,93.63327026,96.42995453
Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..
"Taiwan, China",TWN,..,77.97061157,77.12245941,..,76.23812866,80.34912872,..,79.74705505,73.73801422
Tajikistan,TJK,..,8.293412209,43.93359756,..,6.663888931,39.53859329,..,9.969392776,48.48649597
Tanzania,TZA,..,35.20805359,42.9927063,..,29.25356674,37.78094864,..,41.40602493,48.43411255
Thailand,THA,..,33.17162704,62.27387238,..,27.06199074,62.15901184,..,40.21055222,62.40667725
Togo,TGO,..,6.897649765,31.32995033,..,3.502038956,23.16343689,..,10.40573883,39.56422043
Trinidad and Tobago,TTO,..,..,64.11340332,..,..,55.39616394,..,..,73.14746857
Tunisia,TUN,..,16.99619675,29.41263962,..,12.94611263,21.31026459,..,21.0981369,37.78192139
Turkey,TUR,..,48.25070572,63.7564888,..,37.27375412,50.31496429,..,59.46207047,77.29934692
Turkmenistan,TKM,..,..,34.29752731,..,..,29.04070663,..,..,39.63418579
Uganda,UGA,..,40.46800613,54.68983078,..,32.94763947,47.60886002,..,48.07944489,62.19079971
Ukraine,UKR,..,44.12685013,60.72337723,..,42.53100586,59.32048035,..,46.14743423,62.61035919
United Arab Emirates,ARE,..,76.10533142,84.04006195,..,59.90980911,67.73055267,..,82.39556885,90.21026611
United Kingdom,GBR,..,97.02928925,95.60504913,..,96.31825256,95.07228851,..,97.77179718,96.16487885
United States,USA,..,91.19378662,91.10616302,..,92.68296051,90.84593964,..,89.6940155,91.37368011
Uruguay,URY,..,37.51112747,59.33818054,..,31.79902077,56.43025589,..,44.09023285,62.69377899
Uzbekistan,UZB,..,37.78720093,34.22204208,..,36.74821091,32.70837021,..,38.90736389,35.90154266
"Venezuela, RB",VEN,..,49.07355499,68.7667923,..,44.96495056,65.50079346,..,53.52405167,72.36816406
Vietnam,VNM,..,18.06813431,22.73572731,..,16.46603584,22.98853302,..,19.74785233,22.46059418
West Bank and Gaza,PSE,..,12.07793713,14.19744015,..,7.881428242,7.846837521,..,16.36421013,20.75883102
"Yemen, Rep.",YEM,..,2.764328003,..,..,0.668436885,..,..,4.933152199,..
Zambia,ZMB,..,28.62665939,38.73769379,..,26.54252625,34.83902359,..,30.79174805,42.79923248
Zimbabwe,ZWE,..,29.96287727,52.50385284,..,26.35367775,48.63677597,..,33.73628235,56.71504593
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: Global Financial Inclusion,,,,,,,,,,
Last Updated: 10/15/2018,,,,,,,,,,
